Nanoparticle,Size (nm),Shape,Bacterium,Gram +/-,MIC (μg/mL),Synthesis Method,Reagent Used,Year of study,Link
AgNP,7,Spherical,Bacillus subtilis MTCC 441,+,40,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,10,Spherical,Bacillus subtilis MTCC 441,+,40,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,15,Spherical,Bacillus subtilis MTCC 441,+,50,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,20,Spherical,Bacillus subtilis MTCC 441,+,50,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,30,Spherical,Bacillus subtilis MTCC 441,+,60,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,50,Spherical,Bacillus subtilis MTCC 441,+,80,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,63,Spherical,Bacillus subtilis MTCC 441,+,90,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,85,Spherical,Bacillus subtilis MTCC 441,+,110,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,100,Spherical,Bacillus subtilis MTCC 441,+,120,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,5,Spherical,Staphylococcus aureus NCIM 5021,+,70,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,7,Spherical,Staphylococcus aureus NCIM 5021,+,70,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,10,Spherical,Staphylococcus aureus NCIM 5021,+,80,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,15,Spherical,Staphylococcus aureus NCIM 5021,+,100,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,20,Spherical,Staphylococcus aureus NCIM 5021,+,90,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,30,Spherical,Staphylococcus aureus NCIM 5021,+,100,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,50,Spherical,Staphylococcus aureus NCIM 5021,+,130,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,63,Spherical,Staphylococcus aureus NCIM 5021,+,160,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,85,Spherical,Staphylococcus aureus NCIM 5021,+,180,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,100,Spherical,Staphylococcus aureus NCIM 5021,+,200,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,5,Spherical,Aggregatibacter actinomycetemcomitans (ATCC 29523),-,25,Chemical reduction,PVP and NaBH4,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,5,Spherical,Fusobacterium nucleatum (ATCC 25586),-,25,Chemical reduction,PVP and NaBH4,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,5,Spherical,Streptococcus sanguis (ATCC 10556),+,50,Chemical reduction,PVP and NaBH4,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,5,Spherical,Streptococcus mutans (ATCC 35668),+,50,Chemical reduction,PVP and NaBH4,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,5,Spherical,Streptococcus mitis (ATCC 15914),+,25,Chemical reduction,PVP and NaBH4,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,5,Spherical,Escherichia coli (CCTCC AB 90054),-,6,Chemical reduction,PVP and NaBH4,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,15,Spherical,Aggregatibacter actinomycetemcomitans (ATCC 29523),-,50,Chemical reduction,"PVP, HEPES and NaBH4",2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,15,Spherical,Fusobacterium nucleatum (ATCC 25586),-,50,Chemical reduction,"PVP, HEPES and NaBH4",2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,15,Spherical,Streptococcus sanguis (ATCC 10556),+,50,Chemical reduction,"PVP, HEPES and NaBH4",2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,15,Spherical,Streptococcus mutans (ATCC 35668),+,50,Chemical reduction,"PVP, HEPES and NaBH4",2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,15,Spherical,Streptococcus mitis (ATCC 15914),+,50,Chemical reduction,"PVP, HEPES and NaBH4",2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,15,Spherical,Escherichia coli (CCTCC AB 90054),-,12,Chemical reduction,"PVP, HEPES and NaBH4",2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,55,Spherical,Aggregatibacter actinomycetemcomitans (ATCC 29523),-,200,Chemical reduction,PVP and PEG,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,55,Spherical,Fusobacterium nucleatum (ATCC 25586),-,100,Chemical reduction,PVP and PEG,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,55,Spherical,Streptococcus sanguis (ATCC 10556),+,100,Chemical reduction,PVP and PEG,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,55,Spherical,Streptococcus mutans (ATCC 35668),+,200,Chemical reduction,PVP and PEG,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,55,Spherical,Streptococcus mitis (ATCC 15914),+,100,Chemical reduction,PVP and PEG,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,55,Spherical,Escherichia coli (CCTCC AB 90054),-,100,Chemical reduction,PVP and PEG,2013,https://doi.org/10.1007/s10856-013-4894-5
AgNP,10-100,Spherical,Ralstonia solanacearum,-,4.88,Chemical reduction,1% sodium citrate dihydrate and NaBH4,2016,https://doi.org/10.1155/2016/7135852
AgNP,11.2 ± 2.1,Spherical,Peptostreptococcus asaccharolytica,-,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Porphyromonas gingivalis,-,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Peptococcus levii ATCC 29147,-,40,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Peptostreptococcus buccalis,-,20,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Prevotella intermedia,-,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Prevotella loescheii ATCC 15930,-,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Tannerella forsythia,-,10,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Fusobacterium nucleatum ATCC 25586,-,20,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Fusobacterium necrophorum,-,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Parabacteroides distasonis,-,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Bacteroides fragilis ATCC 25285,-,100,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Bacteroides uniformis,-,100,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Bacteroides ureolyticus,-,40,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Finegoldia magna,+,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Peptostreptococcus anaerobius ATCC 25286,+,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Peptostreptococcus micra,+,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Actinomyces odontolyticus,+,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Bifidobacterium breve ATCC 15700,+,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Propionibacterium acnes,+,5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Propionibacterium granulosum,+,10,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Staphylococcus aureus ATCC 25923,+,2.5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Staphylococcus aureus ATCC 6538,+,2.5,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Staphylococcus aureus ATCC 6538/P,+,10,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Staphylococcus epidermidis ATCC 14990,+,0.3125,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,11.2 ± 2.1,Spherical,Streptococcus mutans ATCC 29175,+,10,"Unspecified, obtained from US Research Nanomaterials (Houston, TX, USA)",Unspecified,2016,https://pubmed.ncbi.nlm.nih.gov/27766027
AgNP,10-15,Spherical,Salmonella enterica serovar Typhimurium,-,7.81,Green synthesis,Penicillium polonicum ARA 10,2018,https://doi.org/10.1016/j.jphotobiol.2018.02.005
AgNP,5-20,Spherical,Escherichia coli ATCC 8739,-,64,Green synthesis,Streptomyces xinghaiensis Strain OF1,2018,https://doi.org/10.1007/s11274-017-2406-3
AgNP,5-20,Spherical,Klebsiella pneumoniae ATCC 700603,-,256,Green synthesis,Streptomyces xinghaiensis Strain OF1,2018,https://doi.org/10.1007/s11274-017-2406-3
AgNP,5-20,Spherical,Pseudomonas aeruginosa ATCC 10145,-,16,Green synthesis,Streptomyces xinghaiensis Strain OF1,2018,https://doi.org/10.1007/s11274-017-2406-3
AgNP,5-20,Spherical,Staphylococcus aureus ATCC 6538,+,256,Green synthesis,Streptomyces xinghaiensis Strain OF1,2018,https://doi.org/10.1007/s11274-017-2406-3
AgNP,5-20,Spherical,Bacillus subtilis PCM 2021,+,64,Green synthesis,Streptomyces xinghaiensis Strain OF1,2018,https://doi.org/10.1007/s11274-017-2406-3
AgNP,23 ± 2,Spherical,Escherichia coli ATCC8739,-,6.25,Green synthesis,Streptacidiphilus durhamensis HGG16n,2018,https://doi.org/10.1016/j.jmii.2016.03.002
AgNP,23 ± 2,Spherical,Salmonella infantis,-,6.25,Green synthesis,Streptacidiphilus durhamensis HGG16n,2018,https://doi.org/10.1016/j.jmii.2016.03.002
AgNP,23 ± 2,Spherical,Klebsiella pneumoniae ATCC700603,-,6.25,Green synthesis,Streptacidiphilus durhamensis HGG16n,2018,https://doi.org/10.1016/j.jmii.2016.03.002
AgNP,23 ± 2,Spherical,Bacillus subtilis PCM2021,+,6.25,Green synthesis,Streptacidiphilus durhamensis HGG16n,2018,https://doi.org/10.1016/j.jmii.2016.03.002
AgNP,23 ± 2,Spherical,Staphylococcus aureus ATCC6338,+,6.25,Green synthesis,Streptacidiphilus durhamensis HGG16n,2018,https://doi.org/10.1016/j.jmii.2016.03.002
AgNP,23 ± 2,Spherical,Pseudomonas aeruginosa ATCC10145,-,25,Green synthesis,Streptacidiphilus durhamensis HGG16n,2018,https://doi.org/10.1016/j.jmii.2016.03.002
AgNP,23 ± 2,Spherical,Proteus mirabilis,-,50,Green synthesis,Streptacidiphilus durhamensis HGG16n,2018,https://doi.org/10.1016/j.jmii.2016.03.002
AgNP,4-24,Spherical,Escherichia coli ATCC8739,-,70,Green synthesis,Actinobacteria Strain SH11,2017,https://pubmed.ncbi.nlm.nih.gov/28476992
AgNP,4-24,Spherical,Staphylococcus aureus ATCC6338,+,40,Green synthesis,Actinobacteria Strain SH11,2017,https://pubmed.ncbi.nlm.nih.gov/28476992
AgNP,4-24,Spherical,Bacillus subtilis PCM2021,+,40,Green synthesis,Actinobacteria Strain SH11,2017,https://pubmed.ncbi.nlm.nih.gov/28476992
AgNP,12.7,Spherical,Staphylococcus aureus ATCC6338,+,70,Green synthesis,Acidophilic actinomycetes SL19 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,12.7,Spherical,Bacillus subtilis PCM2021,+,90,Green synthesis,Acidophilic actinomycetes SL19 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,12.7,Spherical,Klebsiella pneumoniae ATCC700603,-,90,Green synthesis,Acidophilic actinomycetes SL19 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,12.7,Spherical,Escherichia coli ATCC8739,-,90,Green synthesis,Acidophilic actinomycetes SL19 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,12.7,Spherical,Pseudomonas aeruginosa ATCC10145,-,90,Green synthesis,Acidophilic actinomycetes SL19 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,15.9,Spherical,Staphylococcus aureus ATCC6338,+,90,Green synthesis,Acidophilic actinomycetes SL24 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,15.9,Spherical,Bacillus subtilis PCM2021,+,50,Green synthesis,Acidophilic actinomycetes SL24 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,15.9,Spherical,Klebsiella pneumoniae ATCC700603,-,60,Green synthesis,Acidophilic actinomycetes SL24 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,15.9,Spherical,Escherichia coli ATCC8739,-,40,Green synthesis,Acidophilic actinomycetes SL24 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,15.9,Spherical,Pseudomonas aeruginosa ATCC10145,-,40,Green synthesis,Acidophilic actinomycetes SL24 from Pilimelia columellifera subsp. Pallida,2015,https://doi.org/10.1002/jobm.201500516
AgNP,5-20,Spherical,Pseudomonas aeruginosa resistant,-,2.596 ± 1.126,Chemical reduction,Branched cyclodextrin,2019,https://doi.org/10.2147/IJN.S191340
AgNP,5-20,Spherical,Pseudomonas aeruginosa multidrug-resistant,-,2.285 ± 1.492,Chemical reduction,Branched cyclodextrin,2019,https://doi.org/10.2147/IJN.S191340
AgNP,11,Spherical,Pseudomonas aeruginosa MDR12,-,1,Green synthesis,Quercetin and dimethyl sulfoxide,2017,https://doi.org/10.3390/ijms18030569
AgNP,11,Spherical,Staphylococcus aureus MDR13,+,2,Green synthesis,Quercetin and dimethyl sulfoxide,2017,https://doi.org/10.3390/ijms18030569
AgNP,35 ± 15,Spherical,Escherichia coli DH5α,-,10,"Unspecified, purchased from Vector Vita Ltd (Novosibirsk, Russia)",Unspecified,2019,https://doi.org/10.1371/journal.pone.0224904
AgNP,35 ± 15,Spherical,Salmonella enterica serovar Typhimurium ATCC SC14028,-,10,"Unspecified, purchased from Vector Vita Ltd (Novosibirsk, Russia)",Unspecified,2019,https://doi.org/10.1371/journal.pone.0224904
AgNP,35 ± 15,Spherical,Staphylococcus aureus,+,12,"Unspecified, purchased from Vector Vita Ltd (Novosibirsk, Russia)",Unspecified,2019,https://doi.org/10.1371/journal.pone.0224904
AgNP,35 ± 15,Spherical,Bacillus subtilis,+,11,"Unspecified, purchased from Vector Vita Ltd (Novosibirsk, Russia)",Unspecified,2019,https://doi.org/10.1371/journal.pone.0224904
AgNP,26,Spherical,Staphylococcus aureus ATCC 25923,+,10,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,26,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA) ATCC 4330,+,10,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,26,Spherical,Streptococcus mutans ATCC 25175,+,5,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,26,Spherical,Streptococcus oralis ATCC 35037,+,5,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,26,Spherical,Streptococcus gordonii ATCC 49818,+,10,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,26,Spherical,Enterococcus faecalis 700802,+,10,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
